comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;71;1;0;5;10000;10000;1;0;1;2;.000954;NA;.061713;.412204;.476415;.477500;293;317
0.02;3;1;0;4;512;71;1;0;5;10000;10000;2;0;1;2;.001575;NA;.087860;.340635;.397429;.399166;507;540
0.02;3;1;0;4;512;71;1;0;5;10000;10000;4;0;1;2;.003048;NA;.140670;.343942;.377897;.381250;923;904
0.02;3;1;0;4;512;71;1;0;5;10000;10000;8;0;1;2;.005625;NA;.239566;.500897;.521297;.526250;1595;1111
0.02;3;1;0;4;512;71;1;0;5;10000;10000;16;0;1;2;.011739;NA;.456289;1.008.049;1.112.110;1.125.833;3130;989
0.02;3;1;0;4;512;71;1;0;5;10000;10000;32;0;1;2;.061927;NA;.886344;2.016.616;2.065.722;2.080.833;6281;1037
0.02;3;1;0;4;512;81;1;0;5;10000;10000;1;0;1;2;.001615;NA;.039696;.078029;.081439;.082916;367;1184
0.02;3;1;0;4;512;81;1;0;5;10000;10000;2;0;1;2;.003097;NA;.072919;.155877;.167181;.169583;698;1061
0.02;3;1;0;4;512;81;1;0;5;10000;10000;4;0;1;2;.005356;NA;.134719;.297476;.346807;.353333;1333;938
0.02;3;1;0;4;512;81;1;0;5;10000;10000;8;0;1;2;.007084;NA;.251067;.582648;.651954;.660833;2563;934
0.02;3;1;0;4;512;81;1;0;5;10000;10000;16;0;1;2;.017704;NA;.493685;1.209.277;1.307.953;1.322.083;4686;915
0.02;3;1;0;4;512;81;1;0;5;10000;10000;32;0;1;2;.027619;NA;.956827;2.372.823;2.449.773;2.478.750;9283;946
0.02;3;1;0;4;512;171;1;1;5;10000;10000;1;0;1;2;.000907;NA;.046816;.156667;.163410;.164583;279;711
0.02;3;1;0;4;512;171;1;1;5;10000;10000;2;0;1;2;.001997;NA;.077412;.193509;.203991;.205833;473;927
0.03;3;1;0;4;512;171;1;1;5;10000;10000;4;0;1;2;.002539;NA;.127862;.283656;.291157;.294166;825;1065
0.02;3;1;0;4;512;171;1;1;5;10000;10000;8;0;1;2;.003976;NA;.227326;.500637;.541513;.546666;1682;1016
0.02;3;1;0;4;512;171;1;1;5;10000;10000;16;0;1;2;.010679;NA;.442289;.970391;.990263;.998333;3115;1080
0.02;3;1;0;4;512;171;1;1;5;10000;10000;32;0;1;2;.014835;NA;.842625;2.026.972;2.087.763;2.103.750;6139;976
0.02;3;1;0;4;512;181;1;1;5;10000;10000;1;0;1;2;.002035;NA;.034594;.068391;.072731;.074166;302;1151
0.02;3;1;0;4;512;181;1;1;5;10000;10000;2;0;1;2;.001506;NA;.064296;.129643;.134873;.136666;530;1157
0.02;3;1;0;4;512;181;1;1;5;10000;10000;4;0;1;2;.004606;NA;.121027;.259234;.277769;.281250;956;1055
0.02;3;1;0;4;512;181;1;1;5;10000;10000;8;0;1;2;.007859;NA;.227576;.513381;.537040;.541666;1882;1029
0.02;3;1;0;4;512;181;1;1;5;10000;10000;16;0;1;2;.011799;NA;.436331;1.018.216;1.067.864;1.077.916;3647;988
0.02;3;1;0;4;512;181;1;1;5;10000;10000;32;0;1;2;.016797;NA;.850280;2.042.279;2.136.350;2.154.166;7223;963
0.02;3;1;0;4;512;74;1;0;5;10000;10000;1;0;1;2;.000749;NA;.055516;.112541;.125854;.127083;359;1065
0.02;3;1;0;4;512;74;1;0;5;10000;10000;2;0;1;2;.001378;NA;.107357;.204248;.219530;.221250;519;1178
0.02;3;1;0;4;512;74;1;0;5;10000;10000;4;0;1;2;.002026;NA;.207874;.359935;.378173;.381250;731;1321
0.02;3;1;0;4;512;74;1;0;5;10000;10000;8;0;1;2;.003397;NA;.399758;.693893;.745255;.750416;1278;1289
0.02;3;1;0;4;512;74;1;0;5;10000;10000;16;0;1;2;.007860;NA;.759305;1.277.972;1.404.106;1.411.666;2323;1301
0.02;3;1;0;4;512;84;1;0;5;10000;10000;1;0;1;2;.001288;NA;.053686;.088411;.098790;.100000;459;1309
0.02;3;1;0;4;512;84;1;0;5;10000;10000;2;0;1;2;.002659;NA;.109510;.182357;.204716;.207083;676;1288
0.02;3;1;0;4;512;84;1;0;5;10000;10000;4;0;1;2;.004517;NA;.207464;.365350;.443257;.446666;1236;1130
0.02;3;1;0;4;512;84;1;0;5;10000;10000;8;0;1;2;.009231;NA;.421725;.728366;.789603;.797083;1918;1287
0.02;3;1;0;4;512;84;1;0;5;10000;10000;16;0;1;2;.015257;NA;.762666;1.375.494;1.516.054;1.530.000;3671;1212
0.02;3;1;0;4;512;84;1;0;5;10000;10000;32;0;1;2;.031535;NA;1.495.197;2.625.242;3.185.099;3.215.416;8421;1130
0.02;3;1;0;4;512;74;1;0;5;10000;10000;32;0;1;2;.015418;NA;1.432.365;2.330.867;2.535.508;2.549.583;4095;1358
0.02;3;1;0;4;512;174;1;1;5;10000;10000;1;0;1;2;.000862;NA;.050623;.087435;.094877;.096250;368;1285
0.02;3;1;0;4;512;174;1;1;5;10000;10000;2;0;1;2;.001883;NA;.102313;.171311;.193913;.195416;492;1272
0.02;3;1;0;4;512;174;1;1;5;10000;10000;4;0;1;2;.002272;NA;.186065;.298838;.338347;.340833;764;1324
0.02;3;1;0;4;512;174;1;1;5;10000;10000;8;0;1;2;.004651;NA;.370954;.689921;.758533;.762916;1257;1178
0.02;3;1;0;4;512;174;1;1;5;10000;10000;16;0;1;2;.007981;NA;.711021;1.325.680;1.459.187;1.466.666;2301;1173
0.02;3;1;0;4;512;174;1;1;5;10000;10000;32;0;1;2;.013073;NA;1.419.233;2.368.780;2.617.870;2.628.750;4270;1305
0.02;3;1;0;4;512;184;1;1;5;10000;10000;1;0;1;2;.001275;NA;.050515;.082164;.095430;.096250;396;1274
0.02;3;1;0;4;512;184;1;1;5;10000;10000;2;0;1;2;.001469;NA;.100676;.161674;.178349;.180000;557;1358
0.02;3;1;0;4;512;184;1;1;5;10000;10000;4;0;1;2;.002930;NA;.185824;.316356;.360229;.363333;875;1240
0.02;3;1;0;4;512;184;1;1;5;10000;10000;8;0;1;2;.006824;NA;.378267;.593490;.651130;.655833;1445;1397
0.02;3;1;0;4;512;184;1;1;5;10000;10000;16;0;1;2;.010446;NA;.730649;1.208.957;1.290.959;1.302.083;2633;1359
0.02;3;1;0;4;512;184;1;1;5;10000;10000;32;0;1;2;.016105;NA;1.382.895;2.266.195;2.502.189;2.519.583;4958;1329
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Function:;71;ResNet50;Bandwidth optimized;No Qunatization;;;;;;;;;;;;;;;;;;;
;81;ResNet50;Latency Optimized;No Qunatization;;;;;;;;;;;;;;;;;;;
;171;ResNet50;Bandwidth optimized;Quantization;;;;;;;;;;;;;;;;;;;
;181;Resnet50;Latency Optimized;Quantization;;;;;;;;;;;;;;;;;;;
;74;VGG-16;Bandwidth optimized;No Qunatization;;;;;;;;;;;;;;;;;;;
;84;VGG-16;Latency Optimized;No Qunatization;;;;;;;;;;;;;;;;;;;
;174;VGG-16;Bandwidth optimized;Quantization;;;;;;;;;;;;;;;;;;;
;184;VGG-16;Latency Optimized;Quantization;;;;;;;;;;;;;;;;;;;