comp.time(s),comp.peakRAM(MiB),bin.filesize(MiB),ssl,threads,datatype,function,optshare,packbool,protocol,rxbuffer,txbuffer,latencies(ms),bandwidths(Mbs),input_size,preprocess,splitroles,packetdrops(%),verifybuffer,inittime(s),preproc(s),runtime_clock(s),runtime_getTime(s),runtime_chrono(s),runtime_external(s),peakRAM(MiB),jobCPU(%),runtime_chrono(ms),Configuration,Quantized,Combined Configuration
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.094267,,0.130251,0.228783,0.292928,0.345,4204,978,292.928,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.055541,,0.127295,0.233154,0.321606,0.37875,4264,876,321.606,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.09398,,0.149807,1.408692,2.160624,2.214166,4600,174,2160.624,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.313304,,0.146943,1.460692,1.953272,2.227083,4618,172,1953.272,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.096032,,0.151283,1.422653,1.987237,2.000416,4638,194,1987.2369999999999,ResNet50 - Latency Optimized,Non-Quantized,ResNet50 - Latency Optimized - Non-Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.017998,,0.154593,0.131361,0.137729,0.15125,3402,2623,137.72899999999998,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.017873,,0.15115,0.131269,0.13575,0.149583,3141,2617,135.75,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.018449,,0.154868,0.131714,0.141253,0.151666,3361,2640,141.253,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.054481,,0.130354,0.163535,0.190845,0.245,3725,1377,190.845,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.059454,,0.124637,0.15734,0.258657,0.270833,4199,1200,258.65700000000004,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.059674,,0.12533,0.167469,0.213929,0.254583,3737,1277,213.929,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.053844,,0.123514,0.272631,1.32243,1.375,4255,233,1322.43,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.095005,,0.122125,0.223576,0.307883,0.350833,4251,907,307.88300000000004,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.055316,,0.125621,0.238476,0.311644,0.355416,4247,920,311.64399999999995,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.135197,,0.14496,1.361661,2.285569,2.339166,4468,161,2285.569,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.140421,,0.147875,1.440857,2.033178,2.169166,4621,176,2033.1779999999999,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,271,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.143935,,0.142096,1.364046,1.772185,1.9075,4574,192,1772.185,ResNet50 - Latency Optimized,Quantized,ResNet50 - Latency Optimized - Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.012129,,0.133436,0.165847,0.172971,0.183333,2211,1855,172.971,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.011809,,0.135586,0.156914,0.170945,0.182083,2322,1881,170.94500000000002,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.01202,,0.136133,0.163984,0.176162,0.187083,2282,1865,176.162,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.053737,,0.117554,0.205219,0.280778,0.289166,2406,1041,280.778,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.050345,,0.116214,0.2159,0.290926,0.29875,2509,989,290.92600000000004,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.051478,,0.113624,0.206579,0.248055,0.259166,2575,1116,248.055,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.132955,,0.106509,0.280294,0.351361,0.41,2984,671,351.361,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.134344,,0.108705,0.289843,0.336156,0.470416,2628,591,336.156,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.0522,,0.108769,0.27772,0.382462,0.389583,3028,717,382.46200000000005,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.095645,,0.127053,1.16844,1.685486,1.736666,3113,186,1685.486,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.133145,,0.12942,1.074055,1.396953,1.420416,3123,231,1396.953,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.091518,,0.128626,1.120346,1.684064,1.73375,3087,188,1684.064,VGG-16 - Bandwidth Optimized,Non-Quantized,VGG-16 - Bandwidth Optimized - Non-Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.011736,,0.131655,0.126574,0.138711,0.145833,2319,2276,138.711,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.012204,,0.129291,0.127032,0.134725,0.146666,2310,2230,134.72500000000002,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.012362,,0.132236,0.127146,0.142421,0.15375,2166,2185,142.421,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.051484,,0.109001,0.142607,0.195514,0.205,2962,1374,195.51399999999998,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.092503,,0.107925,0.136723,0.165854,0.21,2481,1324,165.854,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.050843,,0.111469,0.146225,0.17738,0.21125,2995,1344,177.38000000000002,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.092338,,0.104922,0.180126,0.272083,0.310416,2973,871,272.083,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.090531,,0.105686,0.178331,0.232951,0.27625,2879,978,232.951,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.03,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,2,1,0.053787,,0.105326,0.175312,0.218518,0.27125,2743,995,218.518,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.135589,,0.117437,0.81051,1.564746,1.571666,3090,191,1564.7459999999999,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.132777,,0.122396,0.8146,1.239113,1.2875,3061,241,1239.1129999999998,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,74,1,1,5,10000,10000,0,25000,1,0,1,5,1,0.093969,,0.119233,0.934752,1.709437,1.7625,3113,172,1709.4370000000001,VGG-16 - Bandwidth Optimized,Quantized,VGG-16 - Bandwidth Optimized - Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.01257,,0.134976,0.124736,0.142407,0.15,2222,2282,142.407,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.012406,,0.142511,0.127382,0.14564,0.152916,2331,2344,145.64,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,0,1,0.01236,,0.138786,0.125824,0.133336,0.14375,2320,2434,133.336,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.052987,,0.112214,0.130702,0.177324,0.190416,3074,1510,177.324,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.135622,,0.113572,0.12463,0.177886,0.222083,3028,1302,177.886,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,1,1,0.053546,,0.115332,0.129896,0.178632,0.185833,2989,1593,178.632,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.052188,,0.110681,0.163165,0.223916,0.243333,3055,1162,223.916,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.091549,,0.1101,0.161845,0.247298,0.297083,3027,955,247.298,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,2,1,0.053182,,0.112715,0.162609,0.23989,0.29,2759,997,239.89,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.132222,,0.118685,0.766092,1.243467,1.251666,3187,242,1243.467,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.090981,,0.120281,0.854902,2.03099,2.08,3214,147,2030.99,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,0,5,10000,10000,0,25000,1,0,1,5,1,0.138189,,0.121023,0.808019,1.062654,1.202916,3259,256,1062.654,VGG-16 - Balanced,Non-Quantized,VGG-16 - Balanced - Non-Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.012009,,0.135363,0.121094,0.132989,0.14,2334,2444,132.989,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.006778,,0.136762,0.123054,0.132131,0.139166,2274,2473,132.131,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,0,25000,1,0,1,0,1,0.012494,,0.132218,0.123402,0.137856,0.14625,2465,2277,137.856,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.049638,,0.112262,0.130642,0.165718,0.172916,2496,1650,165.71800000000002,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
0.02,3,1,0,4,512,174,1,1,5,10000,10000,0,25000,1,0,1,1,1,0.053693,,0.108649,0.121843,0.152283,41.666666,2903,5,152.28300000000002,VGG-16 - Balanced,Quantized,VGG-16 - Balanced - Quantized
