comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);input_size;preprocess;splitroles;verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;1;0;1;1;.017370;NA;.172487;.522238;.534028;.545833;3572;813
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;1;0;1;1;.017705;NA;.166364;.521575;.533515;.552916;3205;772
0.02;3;1;0;4;512;71;1;0;5;10000;10000;0;1;0;1;1;.017841;NA;.168621;.451346;.530383;.546250;3403;790
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25;1;0;1;1;.020064;NA;.165493;4.882408;4.897482;4.916666;4494;87
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25;1;0;1;1;.019077;NA;.166302;4.882062;4.891575;4.908750;4494;88
0.02;3;1;0;4;512;71;1;0;5;10000;10000;25;1;0;1;1;.018999;NA;.165297;4.884502;4.896480;4.912083;4494;87
0.02;3;1;0;4;512;71;1;0;5;10000;10000;50;1;0;1;1;.024410;NA;.161737;9.630444;9.659379;9.676666;4562;43
0.02;3;1;0;4;512;71;1;0;5;10000;10000;50;1;0;1;1;.019981;NA;.165434;9.631456;9.657311;9.674583;4556;43
0.02;3;1;0;4;512;71;1;0;5;10000;10000;50;1;0;1;1;.023818;NA;.164216;9.632768;9.661425;9.683333;4562;43
0.02;3;1;0;4;512;71;1;0;5;10000;10000;75;1;0;1;1;.029858;NA;.164049;14.377221;14.418833;14.445833;4581;29
0.02;3;1;0;4;512;71;1;0;5;10000;10000;75;1;0;1;1;.025232;NA;.164894;14.390548;14.431094;14.455416;4592;29
0.02;3;1;0;4;512;71;1;0;5;10000;10000;75;1;0;1;1;.022681;NA;.165535;14.384958;14.413675;14.436250;4580;29
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;1;0;1;1;.013586;NA;.155276;.215561;.226250;.237916;3127;1681
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;1;0;1;1;.016593;NA;.161583;.216278;.227117;.238750;3402;1748
0.02;3;1;0;4;512;71;1;1;5;10000;10000;0;1;0;1;1;.018242;NA;.156489;.217100;.224682;.237500;3205;1694
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25;1;0;1;1;.019852;NA;.149718;2.518903;2.533674;2.549583;4496;154
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25;1;0;1;1;.020941;NA;.151596;2.517727;2.527952;2.545833;4490;155
0.02;3;1;0;4;512;71;1;1;5;10000;10000;25;1;0;1;1;.020685;NA;.149744;2.519358;2.530730;2.549166;4502;155
0.02;3;1;0;4;512;71;1;1;5;10000;10000;50;1;0;1;1;.021943;NA;.149729;4.937459;4.971644;4.997500;4599;77
0.02;3;1;0;4;512;71;1;1;5;10000;10000;50;1;0;1;1;.023548;NA;.150111;4.938634;4.957188;4.973750;4554;78
0.02;3;1;0;4;512;71;1;1;5;10000;10000;50;1;0;1;1;.022544;NA;.148902;4.936480;4.964231;4.985416;4552;78
0.02;3;1;0;4;512;71;1;1;5;10000;10000;75;1;0;1;1;.029986;NA;.149964;7.345101;7.385476;7.410000;4576;52
0.02;3;1;0;4;512;71;1;1;5;10000;10000;75;1;0;1;1;.025944;NA;.147716;7.356579;7.410064;7.437083;4578;51
0.02;3;1;0;4;512;71;1;1;5;10000;10000;75;1;0;1;1;.027795;NA;.150920;7.349820;7.389683;7.411666;4581;53
0.02;3;1;0;4;512;171;1;0;5;10000;10000;0;1;0;1;1;.016619;NA;.155526;.132649;.141880;.152500;3596;2629
0.02;3;1;0;4;512;171;1;0;5;10000;10000;0;1;0;1;1;.018246;NA;.148789;.132770;.140217;.152083;3332;2513
0.02;3;1;0;4;512;171;1;0;5;10000;10000;0;1;0;1;1;.018518;NA;.154262;.133306;.138372;.152500;3333;2611
0.02;3;1;0;4;512;171;1;0;5;10000;10000;25;1;0;1;1;.017561;NA;.151255;1.809102;1.817745;1.837083;4596;218
0.02;3;1;0;4;512;171;1;0;5;10000;10000;25;1;0;1;1;.018062;NA;.152087;1.811147;1.819919;1.838750;4588;217
0.02;3;1;0;4;512;171;1;0;5;10000;10000;25;1;0;1;1;.018716;NA;.152160;1.809527;1.822360;1.837916;4591;218
0.02;3;1;0;4;512;171;1;0;5;10000;10000;50;1;0;1;1;.022668;NA;.150084;3.610893;3.644843;3.663333;4656;107
0.02;3;1;0;4;512;171;1;0;5;10000;10000;50;1;0;1;1;.024798;NA;.149849;3.609251;3.633123;3.651250;4652;108
0.02;3;1;0;4;512;171;1;0;5;10000;10000;50;1;0;1;1;.021711;NA;.150892;3.606599;3.626909;3.646666;4652;107
0.02;3;1;0;4;512;171;1;0;5;10000;10000;75;1;0;1;1;.025186;NA;.150862;5.411266;5.455878;5.476666;4680;71
0.02;3;1;0;4;512;171;1;0;5;10000;10000;75;1;0;1;1;.019086;NA;.149865;5.405395;5.461727;5.482500;4674;70
0.02;3;1;0;4;512;171;1;0;5;10000;10000;75;1;0;1;1;.025448;NA;.150701;5.401538;5.440193;5.463333;4720;71
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;1;0;1;1;.016224;NA;.153557;.131281;.140411;.150833;3334;2603
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;1;0;1;1;.017152;NA;.154450;.128974;.137703;.148333;3290;2661
0.02;3;1;0;4;512;171;1;1;5;10000;10000;0;1;0;1;1;.013996;NA;.155015;.130024;.135465;.147916;3398;2695
0.02;3;1;0;4;512;171;1;1;5;10000;10000;25;1;0;1;1;.020632;NA;.147114;1.819552;1.828737;1.850833;4527;208
0.02;3;1;0;4;512;171;1;1;5;10000;10000;25;1;0;1;1;.019764;NA;.147521;1.819161;1.828188;1.844583;4533;210
0.02;3;1;0;4;512;171;1;1;5;10000;10000;25;1;0;1;1;.019583;NA;.148905;1.820205;1.831275;1.848333;4531;211
0.02;3;1;0;4;512;171;1;1;5;10000;10000;50;1;0;1;1;.025379;NA;.145608;3.631271;3.666619;3.685000;4595;103
0.02;3;1;0;4;512;171;1;1;5;10000;10000;50;1;0;1;1;.023953;NA;.148057;3.625721;3.651686;3.677500;4591;104
0.02;3;1;0;4;512;171;1;1;5;10000;10000;50;1;0;1;1;.023906;NA;.147550;3.626169;3.657338;3.675000;4596;104
0.02;3;1;0;4;512;171;1;1;5;10000;10000;75;1;0;1;1;.026136;NA;.145836;5.433902;5.468056;5.492083;4608;68
0.02;3;1;0;4;512;171;1;1;5;10000;10000;75;1;0;1;1;.025437;NA;.146465;5.430423;5.474720;5.498333;4612;69
0.02;3;1;0;4;512;171;1;1;5;10000;10000;75;1;0;1;1;.019307;NA;.148708;5.438146;5.459580;5.480833;4613;70
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;1;0;1;1;.016496;NA;.157373;.133272;.141941;.152500;3399;2636
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;1;0;1;1;.016262;NA;.157591;.134407;.141427;.152083;3343;2664
0.02;3;1;0;4;512;271;1;0;5;10000;10000;0;1;0;1;1;.017727;NA;.152866;.133848;.142838;.154583;3222;2526
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25;1;0;1;1;.020863;NA;.152634;2.119037;2.131451;2.146666;4539;184
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25;1;0;1;1;.017071;NA;.154719;2.119098;2.130170;2.144166;4543;188
0.02;3;1;0;4;512;271;1;0;5;10000;10000;25;1;0;1;1;.020445;NA;.153982;2.121655;2.131175;2.147500;4538;187
0.02;3;1;0;4;512;271;1;0;5;10000;10000;50;1;0;1;1;.022339;NA;.150844;4.220509;4.241056;4.259166;4604;91
0.02;3;1;0;4;512;271;1;0;5;10000;10000;50;1;0;1;1;.023963;NA;.151985;4.224867;4.247397;4.265000;4599;92
0.02;3;1;0;4;512;271;1;0;5;10000;10000;50;1;0;1;1;.022544;NA;.152502;4.224380;4.243881;4.265416;4603;92
0.02;3;1;0;4;512;271;1;0;5;10000;10000;75;1;0;1;1;.025589;NA;.151898;6.327150;6.355286;6.375416;4661;61
0.02;3;1;0;4;512;271;1;0;5;10000;10000;75;1;0;1;1;.025283;NA;.152203;6.331685;6.368304;6.392500;4629;61
0.02;3;1;0;4;512;271;1;0;5;10000;10000;75;1;0;1;1;.022553;NA;.152435;6.327962;6.362239;6.382083;4626;61
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;1;0;1;1;.012079;NA;.156538;.132354;.137090;.147916;3514;2711
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;1;0;1;1;.009981;NA;.148641;.131164;.137767;.148333;3268;2571
0.02;3;1;0;4;512;271;1;1;5;10000;10000;0;1;0;1;1;.018401;NA;.152387;.130274;.136966;.149583;3495;2650
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25;1;0;1;1;.020254;NA;.147597;2.025994;2.038026;2.058750;4515;187
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25;1;0;1;1;.013107;NA;.149534;2.022483;2.033000;2.050000;4519;195
0.02;3;1;0;4;512;271;1;1;5;10000;10000;25;1;0;1;1;.017658;NA;.151349;2.026055;2.035086;2.052083;4523;195
0.02;3;1;0;4;512;271;1;1;5;10000;10000;50;1;0;1;1;.021545;NA;.146981;4.034157;4.063002;4.087500;4579;94
0.02;3;1;0;4;512;271;1;1;5;10000;10000;50;1;0;1;1;.021553;NA;.147878;4.036507;4.084482;4.103333;4583;94
0.03;3;1;0;4;512;271;1;1;5;10000;10000;50;1;0;1;1;.021519;NA;.148058;4.034671;4.064818;4.083333;4615;94
0.02;3;1;0;4;512;271;1;1;5;10000;10000;75;1;0;1;1;.025878;NA;.148455;6.050289;6.114451;6.138750;4602;63
0.02;3;1;0;4;512;271;1;1;5;10000;10000;75;1;0;1;1;.028178;NA;.148206;6.048076;6.091232;6.113333;4605;63
0.02;3;1;0;4;512;271;1;1;5;10000;10000;75;1;0;1;1;.019582;NA;.149515;6.055282;6.095055;6.117083;4607;63
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;1;0;1;1;.012578;NA;.132358;.162195;.172725;.181250;2270;1845
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;1;0;1;1;.012580;NA;.131315;.162320;.178631;.185833;2180;1796
0.02;3;1;0;4;512;74;1;0;5;10000;10000;0;1;0;1;1;.012763;NA;.132034;.164933;.175141;.187500;2161;1802
0.02;3;1;0;4;512;74;1;0;5;10000;10000;25;1;0;1;1;.016016;NA;.131433;1.815874;1.829743;1.841250;3050;184
0.02;3;1;0;4;512;74;1;0;5;10000;10000;25;1;0;1;1;.015262;NA;.130698;1.816405;1.823050;1.836250;3046;182
0.02;3;1;0;4;512;74;1;0;5;10000;10000;25;1;0;1;1;.011973;NA;.132374;1.816225;1.824344;1.836250;3047;185
0.02;3;1;0;4;512;74;1;0;5;10000;10000;50;1;0;1;1;.017516;NA;.131551;3.564091;3.578978;3.592500;3107;93
0.02;3;1;0;4;512;74;1;0;5;10000;10000;50;1;0;1;1;.017076;NA;.130369;3.566825;3.579880;3.597083;3093;93
0.02;3;1;0;4;512;74;1;0;5;10000;10000;50;1;0;1;1;.018475;NA;.131449;3.565802;3.589979;3.609166;3111;93
0.02;3;1;0;4;512;74;1;0;5;10000;10000;75;1;0;1;1;.022531;NA;.130388;5.308272;5.332691;5.350416;3108;62
0.02;3;1;0;4;512;74;1;0;5;10000;10000;75;1;0;1;1;.022467;NA;.130880;5.312936;5.342556;5.364583;3108;62
0.02;3;1;0;4;512;74;1;0;5;10000;10000;75;1;0;1;1;.020296;NA;.131919;5.309180;5.326738;5.345000;3114;63
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;1;0;1;1;.011297;NA;.127192;.125447;.137913;.145416;2292;2221
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;1;0;1;1;.011956;NA;.133058;.126174;.139033;.146250;2279;2313
0.02;3;1;0;4;512;74;1;1;5;10000;10000;0;1;0;1;1;.012009;NA;.137162;.128428;.138588;.145833;2294;2368
0.02;3;1;0;4;512;74;1;1;5;10000;10000;25;1;0;1;1;.014227;NA;.126048;1.103431;1.111319;1.127500;3053;287
0.02;3;1;0;4;512;74;1;1;5;10000;10000;25;1;0;1;1;.015540;NA;.127095;1.104464;1.113635;1.127500;3056;291
0.02;3;1;0;4;512;74;1;1;5;10000;10000;25;1;0;1;1;.012213;NA;.127114;1.103131;1.120131;1.131250;3054;286
0.02;3;1;0;4;512;74;1;1;5;10000;10000;50;1;0;1;1;.017234;NA;.127488;2.140653;2.158474;2.173750;3086;149
0.02;3;1;0;4;512;74;1;1;5;10000;10000;50;1;0;1;1;.012783;NA;.127843;2.139135;2.156119;2.170416;3093;149
0.02;3;1;0;4;512;74;1;1;5;10000;10000;50;1;0;1;1;.017029;NA;.126887;2.140972;2.154318;2.167916;3086;149
0.02;3;1;0;4;512;74;1;1;5;10000;10000;75;1;0;1;1;.022709;NA;.124978;3.180639;3.237921;3.262083;3105;98
0.02;3;1;0;4;512;74;1;1;5;10000;10000;75;1;0;1;1;.022687;NA;.127613;3.177128;3.205887;3.229583;3103;100
0.02;3;1;0;4;512;74;1;1;5;10000;10000;75;1;0;1;1;.022390;NA;.127297;3.172504;3.190912;3.213750;3115;101
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;1;0;1;1;.012434;NA;.133906;.124972;.133066;.145000;2270;2355
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;1;0;1;1;.012187;NA;.136860;.125843;.138118;.150833;2239;2305
0.02;3;1;0;4;512;174;1;0;5;10000;10000;0;1;0;1;1;.012785;NA;.137455;.125855;.132671;.144583;2225;2392
0.02;3;1;0;4;512;174;1;0;5;10000;10000;25;1;0;1;1;.015414;NA;.126188;.934510;.938014;.954583;3156;344
0.03;3;1;0;4;512;174;1;0;5;10000;10000;25;1;0;1;1;.015752;NA;.125045;.934690;.947256;.959583;3159;339
0.02;3;1;0;4;512;174;1;0;5;10000;10000;25;1;0;1;1;.015226;NA;.125354;.934313;.940024;.955416;3161;341
0.02;3;1;0;4;512;174;1;0;5;10000;10000;50;1;0;1;1;.018308;NA;.126071;1.834135;1.850737;1.871250;3223;173
0.03;3;1;0;4;512;174;1;0;5;10000;10000;50;1;0;1;1;.017500;NA;.125885;1.834181;1.862152;1.879166;3218;172
0.02;3;1;0;4;512;174;1;0;5;10000;10000;50;1;0;1;1;.017587;NA;.126846;1.834681;1.853672;1.867500;3221;173
0.02;3;1;0;4;512;174;1;0;5;10000;10000;75;1;0;1;1;.022540;NA;.127699;2.736717;2.775584;2.798750;3254;117
0.02;3;1;0;4;512;174;1;0;5;10000;10000;75;1;0;1;1;.022723;NA;.127831;2.742901;2.774518;2.793750;3239;117
0.02;3;1;0;4;512;174;1;0;5;10000;10000;75;1;0;1;1;.021667;NA;.129250;2.738355;2.781232;2.802500;3236;117
0.02;3;1;0;4;512;174;1;1;5;10000;10000;0;1;0;1;1;.012300;NA;.130044;.121011;.132997;.141666;2279;2353
0.02;3;1;0;4;512;174;1;1;5;10000;10000;0;1;0;1;1;.010575;NA;.130053;.119247;.126615;.136250;2351;2412
0.02;3;1;0;4;512;174;1;1;5;10000;10000;0;1;0;1;1;.011809;NA;.132474;.119822;.136553;.143750;2256;2325
0.02;3;1;0;4;512;174;1;1;5;10000;10000;25;1;0;1;1;.016130;NA;.121962;.900330;.907463;.920416;3079;343
0.02;3;1;0;4;512;174;1;1;5;10000;10000;25;1;0;1;1;.014591;NA;.123334;.901270;.907524;.923333;3084;344
0.02;3;1;0;4;512;174;1;1;5;10000;10000;25;1;0;1;1;.010619;NA;.121161;.900075;.909774;.921250;3077;341
0.02;3;1;0;4;512;174;1;1;5;10000;10000;50;1;0;1;1;.016965;NA;.124072;1.752502;1.770322;1.785416;3137;177
0.02;3;1;0;4;512;174;1;1;5;10000;10000;50;1;0;1;1;.012791;NA;.126875;1.751090;1.770689;1.784583;3131;181
0.02;3;1;0;4;512;174;1;1;5;10000;10000;50;1;0;1;1;.017607;NA;.125365;1.749808;1.779667;1.793750;3125;178
0.02;3;1;0;4;512;174;1;1;5;10000;10000;75;1;0;1;1;.022547;NA;.126171;2.606513;2.652873;2.671250;3160;121
0.02;3;1;0;4;512;174;1;1;5;10000;10000;75;1;0;1;1;.018929;NA;.124310;2.603164;2.628043;2.645416;3145;119
0.02;3;1;0;4;512;174;1;1;5;10000;10000;75;1;0;1;1;.022593;NA;.124927;2.600621;2.651920;2.675416;3156;120
0.02;3;1;0;4;512;274;1;0;5;10000;10000;0;1;0;1;1;.011891;NA;.137902;.123365;.136515;.143333;2182;2420
0.02;3;1;0;4;512;274;1;0;5;10000;10000;0;1;0;1;1;.011537;NA;.138097;.124478;.133259;.140833;2272;2462
0.02;3;1;0;4;512;274;1;0;5;10000;10000;0;1;0;1;1;.011801;NA;.136847;.125338;.141887;.149166;2336;2310
0.02;3;1;0;4;512;274;1;0;5;10000;10000;25;1;0;1;1;.014563;NA;.131087;1.002461;1.009123;1.023333;3102;329
0.02;3;1;0;4;512;274;1;0;5;10000;10000;25;1;0;1;1;.014101;NA;.128114;1.001541;1.011479;1.022083;3092;323
0.02;3;1;0;4;512;274;1;0;5;10000;10000;25;1;0;1;1;.014472;NA;.128974;1.002038;1.006979;1.022500;3088;323
0.02;3;1;0;4;512;274;1;0;5;10000;10000;50;1;0;1;1;.018778;NA;.128429;1.942279;1.965254;1.984583;3142;167
0.02;3;1;0;4;512;274;1;0;5;10000;10000;50;1;0;1;1;.017503;NA;.130271;1.945197;1.965108;1.979166;3141;168
0.02;3;1;0;4;512;274;1;0;5;10000;10000;50;1;0;1;1;.018101;NA;.127243;1.947157;1.976314;1.994583;3144;164
0.02;3;1;0;4;512;274;1;0;5;10000;10000;75;1;0;1;1;.021172;NA;.130582;2.885428;2.926935;2.944166;3164;112
0.02;3;1;0;4;512;274;1;0;5;10000;10000;75;1;0;1;1;.021117;NA;.128507;2.881455;2.919872;2.937916;3178;111
0.02;3;1;0;4;512;274;1;0;5;10000;10000;75;1;0;1;1;.022463;NA;.128486;2.886985;2.911877;2.935416;3164;111
0.02;3;1;0;4;512;274;1;1;5;10000;10000;0;1;0;1;1;.011945;NA;.133582;.117756;.127160;.139583;2213;2422
0.02;3;1;0;4;512;274;1;1;5;10000;10000;0;1;0;1;1;.007177;NA;.132487;.120224;.130765;.137916;2272;2420
0.02;3;1;0;4;512;274;1;1;5;10000;10000;0;1;0;1;1;.011663;NA;.135235;.119420;.125849;.134583;2338;2533
0.02;3;1;0;4;512;274;1;1;5;10000;10000;25;1;0;1;1;.015418;NA;.126170;.969724;.980353;.995833;3069;328
0.02;3;1;0;4;512;274;1;1;5;10000;10000;25;1;0;1;1;.014205;NA;.124866;.966618;.972653;.987083;3077;327
0.02;3;1;0;4;512;274;1;1;5;10000;10000;25;1;0;1;1;.014947;NA;.125072;.966998;.976005;.989583;3070;326
0.02;3;1;0;4;512;274;1;1;5;10000;10000;50;1;0;1;1;.018312;NA;.127041;1.876744;1.913564;1.928750;3119;168
0.02;3;1;0;4;512;274;1;1;5;10000;10000;50;1;0;1;1;.019433;NA;.126825;1.880025;1.895482;1.917083;3122;170
0.02;3;1;0;4;512;274;1;1;5;10000;10000;50;1;0;1;1;.017310;NA;.126759;1.877602;1.892321;1.907500;3115;171
0.02;3;1;0;4;512;274;1;1;5;10000;10000;75;1;0;1;1;.020704;NA;.125863;2.787595;2.819400;2.837916;3135;112
0.02;3;1;0;4;512;274;1;1;5;10000;10000;75;1;0;1;1;.022171;NA;.126137;2.788411;2.836587;2.859166;3146;113
0.02;3;1;0;4;512;274;1;1;5;10000;10000;75;1;0;1;1;.020924;NA;.125883;2.784117;2.804880;2.822916;3132;113
